x11.685200618666158; y5.5789100177664155; r245.47546434514484; vx-0.4307089767516672; vy0.2678384668922611; vr3.878337289545584;
x11.130631004896905; y5.903979239957744; r250.44383121451645; vx-3.3655277372195265; vy1.894029476948342; vr29.434813497210712;
x10.656513401837257; y6.1282087298733545; r254.53094028362375; vx-0.5926494693261048; vy0.25099092027870284; vr4.071049701448715;
x10.18000421278343; y6.3346599272657835; r259.04763743759787; vx-0.44751904711938906; vy0.16333060044773084; vr4.998478183731265;
x9.737783860992012; y6.471971566747676; r262.29965938845925; vx-0.6668717195077036; vy0.09137412414108681; vr4.063020017619465;
x8.968667647121938; y6.665513478195993; r268.33396678616873; vx-4.252156000181538; vy1.0403859271203162; vr29.34648697508834;
x8.486576587125388; y6.724041651998201; r272.4250906971906; vx-0.9780241961839398; vy0.1632598925126194; vr8.832652212216203;
x7.887528519322123; y6.776063521811098; r276.92572848350625; vx-0.9065284000270779; vy0.08995711715935162; vr6.6746746830952475;
x7.451740335208347; y6.771389317356352; r280.95462234485115; vx-0.6796933734506645; vy-0.029403476282377383; vr5.974084768989769;
x6.902244770893131; y6.722586446295177; r284.4756387039937; vx-2.6623800860842275; vy-0.26185887051747336; vr20.216736461188418;
x6.492085185359261; y6.688837598779585; r288.15122647685; vx-0.42054515060561215; vy-0.060186294761820136; vr3.669565509984295;
x6.015272319985993; y6.63147498407388; r291.60599794440094; vx-1.0102887517141346; vy-0.043803411489036215; vr7.738607790475669;
x5.663377931377351; y6.4947179669963395; r295.0286506766347; vx-0.3085664536466943; vy-0.10887836575984622; vr3.549120252545208;
x5.214046590957516; y6.36898592248196; r297.89123296177564; vx-0.5526109387663141; vy-0.22397411911945397; vr3.6856248776427947;
x4.692499497519119; y6.206157636699085; r303.22896528729444; vx-0.4300381275249565; vy-0.03301470432464537; vr5.058700812451207;
x4.345315890304308; y6.038089112930632; r306.54723212974744; vx-0.004155929626842081; vy0.051448079060904206; vr6.2270198096123295;
x3.5570960031361727; y5.5575112136595015; r312.92280109020163; vx-5.29243928722094; vy-3.5629543630439713; vr43.98259317492193;
x3.233073850164022; y5.30126208872828; r316.83526453602195; vx-0.3962096645800175; vy-0.37087058484088065; vr8.726258901477934;
x2.642853238215617; y4.830050442418553; r321.4663846845635; vx-2.4989465890219473; vy-1.8966684473226572; vr27.005834138851412;
x2.357299916215726; y4.542199532796441; r324.66621369053445; vx-0.36989285507847214; vy-0.4313091112759757; vr3.7900107674236096;
x1.763076562132452; y3.920603154113309; r331.56571952084965; vx-3.598096886673794; vy-3.7516541414744995; vr47.46948337778991;
x1.4309059805636792; y3.4480361716243006; r335.1268842991386; vx-0.37856797363272854; vy-0.5532240589676345; vr3.95863412783865;
x1.145360452481858; y3.0561259718874942; r339.15377073952624; vx-0.36815825764151766; vy-0.6198707963689598; vr5.128960545957284;
x0.9404700763239492; y2.6695405192117208; r342.4258668999609; vx-0.1615098307638081; vy-0.5048186216829098; vr4.151346539741553;
x0.785277424245802; y2.321486100310787; r345.5353619628524; vx-0.2293670773663914; vy-0.5274893390951556; vr5.925906666014271;
x0.5881197069333537; y1.826983670542014; r349.16879389560495; vx-0.27214801705466574; vy-0.6044720694736148; vr4.054990333790101;
x0.40714380698969577; y1.2962866183559272; r353.5610309502252; vx-0.1826198638963603; vy-0.5702564385002207; vr3.950604444009514;
x0.28512251854268633; y0.8615736262949468; r357.47148697508817; vx-0.09054018969601496; vy-0.33899320608884365; vr3.806070135082564;
x0.1741500259002944; y0.35574043424087165; r361.69911551120794; vx-0.05005620799351129; vy-0.5411180342678821; vr4.119227804424554;
x0.12708702803046285; y0.011301596379842726; r364.98727103930116; vx-0.16184449878636611; vy-0.04309008324567493; vr5.229331593823474;
x0.09959346393086677; y-0.5338647626281413; r368.4420425068521; vx0.07724512062232325; vy-0.7484098354605815; vr4.472533892913361;
x0.12814322149772903; y-0.983521912450683; r371.67399024814017; vx0.03115657006046807; vy-0.5008019147770448; vr4.183465275058552;
x0.1565155415618708; y-1.5811352567806436; r376.4958153876274; vx0.8261412813442948; vy-1.34084614520811; vr6.594377844802182;
x0.2207603437353367; y-1.9780401631980837; r379.68359986785447; vx0.07866357968576043; vy-0.5459350842465867; vr4.440415157595908;
x0.28598406612031446; y-2.465415660464484; r383.3872915341132; vx0.5156609201328439; vy-1.0925187152313565; vr6.52411811129582;
x0.4372673376541676; y-2.9107607299055243; r386.90228563038386; vx0.48609563572881287; vy-1.1920114697036865; vr9.04142399177772;
x0.6528555745860777; y-3.6157734702300224; r392.63748730545234; vx0.24415526733337467; vy-0.5355134012727572; vr4.215584010375778;
x0.9469399693649055; y-4.287215593953371; r398.14986525425815; vx0.4956002936873788; vy-0.9254349495314118; vr6.694748892668656;
x1.1624092955730623; y-4.683684121261821; r402.47786483824405; vx0.23960745636102398; vy-0.41031791354211933; vr4.480563576742725;
x1.5358509836483047; y-5.173968728697641; r406.5730035911805; vx0.5834328463784899; vy-0.7680322557889241; vr5.751261042726981;
x1.8309384702626126; y-5.573643421686481; r410.87089186080664; vx0.41744469020013497; vy-0.5638510152854685; vr4.336029267814865;
x2.1640750970184013; y-5.934628044766598; r414.5304202660044; vx0.8746611751353339; vy-0.6033570645369224; vr6.504043901722696;
x2.4721896571429456; y-6.200057391989787; r418.06147372993354; vx0.40153031123420924; vy-0.32849676404210726; vr4.440415157596135;
x2.8728620879198394; y-6.539574849423885; r421.6266533501372; vx0.6861308573012304; vy-0.5163056796121213; vr5.891780509739704;
x3.3578381242782784; y-6.902127298944318; r426.5930127985514; vx0.6979149694341968; vy-0.5619590733654078; vr5.620778680500678;
x3.7409348634606356; y-7.156067706012842; r430.04176200323036; vx0.3934542220282178; vy-0.26943723088632243; vr5.088812126810751;
x4.344144930183271; y-7.460094904174384; r435.0964479737669; vx0.9819358843521586; vy-0.43080615161008584; vr6.162782338978445;
x4.818640076551732; y-7.676520567845787; r439.22772030393526; vx1.7716392486691905; vy-0.43713915453413854; vr12.323557256998527;
x5.366997128882743; y-7.874506041979094; r443.2947551634693; vx1.5098920586363302; vy-0.48358884298318827; vr9.310418400058893;
x5.725462154053319; y-7.995034271367179; r446.52670290475754; vx0.487699453796548; vy-0.11994179595333065; vr4.464504209083998;
x6.886523126590945; y-8.22443724285309; r455.8451509886455; vx19.242239140474982; vy-4.442290341974994; vr168.2379355912293;
x7.33873367771061; y-8.23406293032385; r458.4166572349748; vx0.6581556857362081; vy-0.007884125560082111; vr4.528741679717996;
