x11.392662726099195; y37.30693745054373; r-62.520662983425446; vx0.6060952129192501; vy0.3356475388461604; vr-1.0024309392265423;
x11.875482008880367; y37.572187065190654; r-63.30828729281772; vx0.6757110596227278; vy0.3607090446494965; vr-1.0979005524861805;
x12.39853062704513; y37.848947371311674; r-64.1197790055249; vx0.773316679201443; vy0.3969629323459287; vr-1.1933701657458755;
x13.011728265904194; y38.15496120898325; r-65.03867403314922; vx0.8455646152223011; vy0.41607657180017554; vr-1.2888397790055706;
x13.670290824754796; y38.45302447468879; r-65.95756906077351; vx1.250221782152714; vy0.5251207094753951; vr-1.670718232044095;
x14.108753352897917; y38.663588904053896; r-66.60198895027628; vx1.0393376156610312; vy0.4559002755953756; vr-1.4320441988949995;
x14.71036018297162; y38.92835929110494; r-67.50895027624313; vx0.7420407506147058; vy0.3442919197148626; vr-1.1456353591159996;
x15.283279121775976; y39.178541987675494; r-68.34430939226523; vx1.28460370189282; vy0.5422031220325607; vr-1.7900552486188133;
x15.793930364532137; y39.3995043222144; r-69.14386740331497; vx0.9421124921627424; vy0.4144460823879683; vr-1.4797790055249038;
x16.422159885296367; y39.66322110220881; r-70.08662983425418; vx0.905657047646784; vy0.36664917330432445; vr-1.4320441988950279;
x16.981341530671127; y39.878843500986356; r-70.89812154696138; vx0.7458848442144443; vy0.2783066030145278; vr-1.0979005524862373;
x17.55530478164947; y40.078552312923954; r-71.74541436464094; vx0.6771857681807916; vy0.2268083004394157; vr-1.0501657458563614;
x18.272528200217206; y40.32854131419322; r-72.79558011049728; vx0.6153225259777599; vy0.20900343091534523; vr-0.9069613259668472;
x18.775278460816065; y40.501588506179566; r-73.52353591160227; vx0.9162172157097892; vy0.3149255899048953; vr-1.3127071823204517;
x19.333842803171226; y40.68851078265078; r-74.31116022099454; vx1.3681839340197577; vy0.6115345976889586; vr-2.207734806629915;
x19.91573623496257; y40.868581067183726; r-75.11071823204426; vx0.8639203927459391; vy0.25014700015239555; vr-1.1933701657458187;
x20.53552027503569; y41.04960125217102; r-75.95801104972382; vx0.5975599935927072; vy0.16417123022891644; vr-0.8234254143646353;
x21.138968888515638; y41.21296209561557; r-76.79337016574593; vx0.9998166277645915; vy0.2590696746787913; vr-1.3723756906077256;
x21.674033349055176; y41.34369245446552; r-77.5809944751382; vx0.6482488380576683; vy0.1764966525277032; vr-0.9546961325967231;
x22.245059664729045; y41.46665247873758; r-78.39248618784536; vx0.6863917109117494; vy0.1439722666632406; vr-0.9546961325966095;
x22.81599167115852; y41.57348637304176; r-79.18011049723764; vx0.8911253732515547; vy0.1290220962394244; vr-1.1933701657458187;
x23.411404296103946; y41.70723918194297; r-80.01546961325974; vx0.8102380034265906; vy0.16197106074429257; vr-1.0979005524861805;
x24.03844763085361; y41.8374049555278; r-80.85082872928184; vx0.8422655855925996; vy0.15507925757486873; vr-1.0979005524862373;
x24.64141600227984; y41.942990301324436; r-81.6742541436465; vx0.7657929556860523; vy0.11565517258449631; vr-1.0501657458563614;
x25.249073898780004; y42.04037968690873; r-82.52154696132605; vx0.5531512685472819; vy0.07519203317267653; vr-0.787624309392271;
x25.786423854703138; y42.112422961959005; r-83.27337016574593; vx0.7283301739204404; vy0.1046348847505385; vr-1.0979005524861805;
