x0.06179868441777902; y-0.4483203657273098; r-0.2168014633907596; vx-0.004982364785097768; vy-1.316721332406631; vr0.0;
x-1.2403640810963654; y-135.23368874798032; r2.455075830804619; vx-0.015441383420454757; vy1.2329244930752736; vr0.11040815265270121;
x-1.2474975889447373; y-134.69422717093187; r2.503253933780344; vx-0.021839208647659314; vy1.2780872614195005; vr0.10037104786609463;
x-1.259659293873486; y-134.17233623612032; r2.5353726690974936; vx-0.031051714457550617; vy1.0704639235669902; vr0.048178102975724;
x-1.2697016052568808; y-133.56721353719772; r2.5413949319694598; vx-0.009650432740506698; vy1.5027398703543327; vr-0.010037104786611017;
x-1.2727130053036666; y-132.98499318896066; r2.5534394577133908; vx-0.006804041076458045; vy1.438660707898407; vr0.050185523933043985;
x-1.29436996150867; y-132.03947401906308; r2.6156695073903684; vx-0.19389287179413217; vy7.086733555524376; vr0.37538771901919343;
x-1.322282383401524; y-131.34146529406038; r2.627714033134299; vx-0.08407099995964007; vy1.9812492319860553; vr0.020074209573219814;
x-1.3462084471291742; y-130.3248777044704; r2.647788242707518; vx-0.09840596534702772; vy4.483836902890943; vr0.0702597335062678;
x-1.3632626875765979; y-129.437163327728; r2.6999811875978854; vx-0.034904908528101686; vy0.9710029872387622; vr0.03211873531714993;
x-1.3868494687943993; y-128.88068131411092; r2.7080108714271725; vx-0.05365053573411238; vy1.1919900487113182; vr0.008029683829288814;
x-1.4000690150313033; y-128.28941658381126; r2.712025713341817; vx-0.02718490638502713; vy1.636459447472589; vr-0.010037104786606577;
x-1.4112746986908915; y-127.69848236492619; r2.730092501957713; vx-0.02373250132438187; vy1.1809540893547137; vr0.06423747063429985;
x-1.4401165304526524; y-126.85650591527562; r2.760203816317541; vx-0.043996494680040854; vy1.0821636242687873; vr0.024089051487861113;
x-1.466527556172211; y-126.21184108592072; r2.7742557630187936; vx-0.05119200824908532; vy1.28199216902442; vr0.03211873531714815;
x-1.481106967187996; y-125.54999934352423; r2.7662260791895066; vx-0.023738851839645303; vy1.6014660272627168; vr-0.020074209573215374;
x-1.5219293914361753; y-124.4301044312498; r2.798344814506656; vx-0.3065647506303897; vy7.840306076925799; vr0.2208163053054033;
x-1.5531342908298147; y-123.76444106116877; r2.8023596564213; vx-0.06217091088379334; vy1.3259631208920268; vr0.008029683829288814;
x-1.5796276455612719; y-123.07194187955811; r2.796337393549334; vx-0.06352465684154818; vy1.8481584235480142; vr-0.020074209573219814;
x-1.6099061758947952; y-122.23298146677281; r2.8164116031225523; vx-0.09488445273348134; vy2.4188561271268583; vr0.07025973350626602;
x-1.6504649154256321; y-121.19149690943576; r2.8204264450371963; vx-0.04744354434494635; vy1.3954874371978576; vr-0.03211873531714815;
x-1.6748814782644568; y-120.53221787405026; r2.82444128695184; vx-0.04929291149792281; vy1.3278908810906387; vr0.016059367658574075;
x-1.7101745775316384; y-119.72269012747165; r2.8384932336530926; vx-0.09199750968738596; vy2.0631426088479543; vr0.03011131435982861;
x-1.7603984284136556; y-118.5747655782935; r2.8304635498238055; vx-0.3726080516729646; vy8.552507866108797; vr-0.11040815265269188;
x-1.7927410818014324; y-117.8936772895825; r2.8304635498238055; vx-0.08644260676634818; vy1.8150583978825807; vr-0.010037104786608797;
x-1.8343083755022185; y-116.99942084186996; r2.8384932336530926; vx-0.09536426604546788; vy1.9925517419434158; vr0.010037104786608797;
x-1.9048388423064377; y-115.48266408658553; r2.840500654610415; vx-0.4342726372459884; vy9.646356768806072; vr0.0;
x-1.9425775434224979; y-114.65508826610078; r2.850537759397024; vx-0.08011058165624085; vy1.7463063109705956; vr0.020074209573219814;
x-1.9767789173420223; y-113.95495441579817; r2.852545180354346; vx-0.06813317337517866; vy1.3673814532804727; vr0.0;
x-2.0471648252232137; y-112.52887676430342; r2.850537759397024; vx-0.5753044680559345; vy11.707753367322312; vr-0.024089051487861113;
x-2.093169018293842; y-111.59146100409457; r2.852545180354346; vx-0.10765447437935549; vy2.216048224698909; vr0.008029683829287038;
x-2.1239591748812465; y-110.93351569412327; r2.858567443226311; vx-0.04539634036371565; vy0.9501874622326056; vr0.006022262871965278;
x-2.1605130189068786; y-110.16162600644101; r2.864589706098277; vx-0.09292019892659154; vy1.9254801832585855; vr0.010037104786608797;
x-2.232822160936054; y-108.49195540960001; r2.8987158623727485; vx-0.08502155469538364; vy1.88207417840637; vr0.030111314359830832;
x-2.2671867477158227; y-107.77371139534728; r2.904738125244714; vx-0.06377981922599751; vy1.3648114757658618; vr0.01605936765857585;
x-2.3001864874133227; y-107.08362111897455; r2.910760388116679; vx-0.0656130217615516; vy1.4520246651869684; vr0.024089051487859336;
x-2.3543721226665832; y-105.90077696467067; r2.9288271767325753; vx-0.06983266858814297; vy1.4720233187513259; vr0.016059367658574075;
